0x0	0x0
0x40	0x40
0x8	0x8
0x3f	0x3f
0x2	0x2
0x5	0x5
0x7	0x7
0xc	0xc
0x12	0x12
0x14	0x14
0x15	0x15
0x18	0x18
0x19	0x19
0x1b	0x1b
0x21	0x21
0x22	0x22
0x27	0x27
0x2b	0x2b
0x30	0x30
0x32	0x32
0x34	0x34
0x36	0x36
0x37	0x37
0x37	0x39
0x39	0x39
0x3a	0x3a
0x3d	0x3d
0x43	0x43
0x47	0x47
0x4c	0x4c
0x4e	0x4e
0x51	0x51
0x53	0x53
0x55	0x55
0x55	0x72
0x57	0x57
0x59	0x59
0x5a	0x5a
0x5e	0x5e
0x5f	0x5f
0x63	0x63
0x64	0x64
0x69	0x69
0x6b	0x6b
0x6d	0x6d
0x6f	0x6f
0x70	0x70
0x70	0x72
0x72	0x72
0x73	0x73
0x76	0x76
0x78	0x78
0x7c	0x7c
0x7f	0x7f
0x83	0x83
0x88	0x88
0x8a	0x8a
0x8d	0x8d
0x8f	0x8f
0x91	0x91
0x91	0xf9
0x91	0x13e
0x93	0x93
0x95	0x95
0x96	0x96
0x9a	0x9a
0x9b	0x9b
0x9f	0x9f
0xa0	0xa0
0xa5	0xa5
0xa8	0xa8
0xa8	0xc3
0xa9	0xa9
0xab	0xab
0xab	0xcb
0xac	0xac
0xae	0xae
0xaf	0xaf
0xb4	0xb4
0xb6	0xb6
0xb9	0xb9
0xbb	0xbb
0xbd	0xbd
0xbf	0xbf
0xc0	0xc0
0xc0	0xc3
0xc0	0xcb
0xc0	0xf9
0xc3	0xc3
0xc4	0xc4
0xc7	0xc7
0xcb	0xcb
0xcc	0xcc
0xcf	0xcf
0xd1	0xd1
0xd4	0xd4
0xd9	0xd9
0xdb	0xdb
0xde	0xde
0xe2	0xe2
0xe4	0xe4
0xe7	0xe7
0xe9	0xe9
0xec	0xec
0xee	0xee
0xef	0xef
0xf2	0xf2
0xf9	0xf9
0xfb	0xfb
0x101	0x101
0x103	0x103
0x104	0x104
0x106	0x106
0x108	0x108
0x10b	0x10b
0x10d	0x10d
0x111	0x111
0x112	0x112
0x114	0x114
0x115	0x115
0x119	0x119
0x11f	0x11f
0x120	0x120
0x121	0x121
0x123	0x123
0x124	0x124
0x128	0x128
0x129	0x129
0x12d	0x12d
0x12e	0x12e
0x136	0x136
0x138	0x138
0x13a	0x13a
0x13c	0x13c
0x13d	0x13d
0x13d	0x13e
0x13e	0x13e
0x13f	0x13f
0x143	0x143
0x14a	0x14a
0x14e	0x14e
0x153	0x153
0x157	0x157
0x15b	0x15b
0x160	0x160
0x194	0x194
0x196	0x196
0x197	0x197
0x199	0x199
0x19a	0x19a
0x19c	0x19c
0x19d	0x19d
0x1a0	0x1a0
0x1a3	0x1a3
0x1a6	0x1a6
0x1aa	0x1aa
0x1ac	0x1ac
0x1ae	0x1ae
0x1b1	0x1b1
0x1b3	0x1b3
0x1b7	0x1b7
0x1b9	0x1b9
0x1bb	0x1bb
0x1be	0x1be
0x1c0	0x1c0
0x1c4	0x1c4
0x1c6	0x1c6
0x1c8	0x1c8
0x1cb	0x1cb
0x1cd	0x1cd
0x1d0	0x1d0
0x171V0x10	0x171V0x10
0x188V0x10	0x188V0x10
0x164V0x10	0x164V0x10
0x166V0x10	0x166V0x10
0x16aV0x10	0x16aV0x10
0x16bV0x10	0x16bV0x10
0x16cV0x10	0x16cV0x10
0x16dV0x10	0x16dV0x10
0x177V0x10	0x39
0x177V0x10	0x177V0x10
0x177V0x10	0x181V0x10
0x178V0x10	0x178V0x10
0x17aV0x10	0x17aV0x10
0x17cV0x10	0x17cV0x10
0x17eV0x10	0x17eV0x10
0x17fV0x10	0x17fV0x10
0x17fV0x10	0x181V0x10
0x181V0x10	0x181V0x10
0x183V0x10	0x183V0x10
0x184V0x10	0x184V0x10
